,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,2994.7025986087224,954115.4131617636,1463244662978.5862,6992.682151476787,7059.81319772301,2994.702499570137,2994.702499570137
1,788.3454393999142,392370.67834769766,1901.2101797682105,4170.809563522137,4178.221283844989,788.3454394647684,788.3454394647684
2,858.6374022933262,334535.46146164037,51285084689.45181,7019.601579789878,7056.155567013662,858.6374100417827,858.6374100417827
3,419.26901690927536,284055.6041936105,1932.1753620809575,1293.1357824356514,1323.2353055957071,419.26901656699647,419.26901656699647
4,6944.290533998059,726963.6667694703,63835457562.83623,1580.2069529967564,1599.3632413778437,6944.290526887193,6944.290526887193
5,1066.2174512130678,741925.78618432,7022962093955.84,1326.2009333263552,1341.2600098318126,1066.2174477655099,1066.2174477655099
6,367.4909269856556,720989.351095162,242506890314.33688,4756.167139429934,4647.863721060206,367.49092508613046,367.49092508613046
7,649.3352182473554,744296.8026201292,12119975176.441187,2203.913394772044,2197.3458932025965,649.3352183541795,649.3352183541795
8,1515.7712309955657,1189759.9304212576,938.3400300468896,7521.708396709615,7544.381222091706,1515.7712300245664,1515.7712300245664
9,932.735811930121,291527.2945506004,2243.4037390838757,3922.064693108485,3921.2867693293665,932.7358127955155,932.7358127955155
