,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,5325.477932976454,37768.11385824273,7179.597383207557,7179.597486886397,5325.4779329775265,5325.4779329775265
1,7867.858161368327,63700.44494110367,9938.324658564883,9938.324667351044,7867.858161369288,7867.858161369288
2,7616.9248540703575,9812.87764668655,9812.878286085705,9812.878173898805,7616.924854068939,7616.924854068939
3,9777.455621335199,11454.225681407419,11454.219268953504,11454.219386031431,9777.455621336569,9777.455621336569
4,9302.641571297758,11886.950785067907,11886.961968080393,11886.961877086118,9302.641571297667,9302.641571297667
5,10627.009445749974,13404.405687838675,13404.409751437257,13404.409765604458,10627.009445747764,10627.009445747764
6,11492.751512329516,12834.32293187034,12834.318403723524,12834.318370844838,11492.751512329301,11492.751512329301
7,19608.32901268558,22366.500459456867,22366.498468138027,22366.498339614507,19608.329012686896,19608.329012686896
8,5918.671875775106,7514.290011279324,7514.307302979481,7514.307298720117,5918.671875775246,5918.671875775246
9,21465.636244101588,23901.26013681015,23901.238524944853,23901.238604471546,21465.636244102556,21465.636244102556
